
                                              MFCS/win                    Report printed:                2024-11-03 12:49:24
                                             Batch Report                                              Pacific Standard Time



 Batch Name:                Biostat22_control                   Batch created:            2024-10-30 16:46:55

 Experiment Start:          2024-10-30 16:46:55                 Experiment Stop:          2024-11-03 12:10:26

 Started by:                WE42591\BIOSTAT                     Finished by:              WE42591\BIOSTAT



 Raw                                                  AFOAM

  Data
                                                      Value


 Date    /  Time                Age

01-11-2024 18:16:55            49.500   179769313486232000000000000000000   INVAL/OFF

01-11-2024 18:46:55            50.000   179769313486232000000000000000000   INVAL/OFF
01-11-2024 19:16:55            50.500   179769313486232000000000000000000   INVAL/OFF
01-11-2024 19:46:55            51.000   179769313486232000000000000000000   INVAL/OFF

01-11-2024 20:16:55            51.500   179769313486232000000000000000000   INVAL/OFF
01-11-2024 20:46:55            52.000   179769313486232000000000000000000   INVAL/OFF
01-11-2024 21:16:55            52.500   179769313486232000000000000000000   INVAL/OFF

01-11-2024 21:46:55            53.000   179769313486232000000000000000000   INVAL/OFF
01-11-2024 22:16:55            53.500   179769313486232000000000000000000   INVAL/OFF

01-11-2024 22:46:55            54.000   179769313486232000000000000000000   INVAL/OFF
01-11-2024 23:16:55            54.500   179769313486232000000000000000000   INVAL/OFF
01-11-2024 23:46:55            55.000   179769313486232000000000000000000   INVAL/OFF

02-11-2024 00:16:55            55.500   179769313486232000000000000000000   INVAL/OFF
02-11-2024 00:46:55            56.000   179769313486232000000000000000000   INVAL/OFF

02-11-2024 01:16:55            56.500   179769313486232000000000000000000   INVAL/OFF
02-11-2024 01:46:55            57.000   179769313486232000000000000000000   INVAL/OFF
02-11-2024 02:16:55            57.500   179769313486232000000000000000000   INVAL/OFF

02-11-2024 02:46:56            58.000   179769313486232000000000000000000   INVAL/OFF
02-11-2024 03:16:56            58.500   179769313486232000000000000000000   INVAL/OFF

02-11-2024 03:46:56            59.000   179769313486232000000000000000000   INVAL/OFF
02-11-2024 04:16:56            59.500   179769313486232000000000000000000   INVAL/OFF
02-11-2024 04:46:56            60.000   179769313486232000000000000000000   INVAL/OFF

02-11-2024 05:16:56            60.500   179769313486232000000000000000000   INVAL/OFF
02-11-2024 05:46:56            61.000   179769313486232000000000000000000   INVAL/OFF
02-11-2024 06:16:56            61.500   179769313486232000000000000000000   INVAL/OFF

02-11-2024 06:46:56            62.000   179769313486232000000000000000000   INVAL/OFF
02-11-2024 07:16:56            62.500   179769313486232000000000000000000   INVAL/OFF

02-11-2024 07:46:56            63.000   179769313486232000000000000000000   INVAL/OFF
02-11-2024 08:16:56            63.500   179769313486232000000000000000000   INVAL/OFF
02-11-2024 08:46:56            64.000   179769313486232000000000000000000   INVAL/OFF

02-11-2024 09:16:56            64.500   179769313486232000000000000000000   INVAL/OFF
02-11-2024 09:46:56            65.000   179769313486232000000000000000000   INVAL/OFF

02-11-2024 10:16:56            65.500   179769313486232000000000000000000   INVAL/OFF
02-11-2024 10:46:56            66.000   179769313486232000000000000000000   INVAL/OFF
02-11-2024 11:16:56            66.500   179769313486232000000000000000000   INVAL/OFF

02-11-2024 11:46:56            67.000   179769313486232000000000000000000   INVAL/OFF
02-11-2024 12:16:56            67.500   179769313486232000000000000000000   INVAL/OFF

02-11-2024 12:46:56            68.000   179769313486232000000000000000000   INVAL/OFF
