YALI0_ID,UniProt_ID
YALI0F02563g,Q6C353
YALI0F02475g,Q6C355
YALI0F02453g,Q6C356
YALI0F02431g,Q6C357
YALI0F02409g,Q6C358
YALI0F02387g,Q6C359
YALI0F02365g,Q6C360
YALI0F02321g,Q6C362
YALI0F02299g,Q6C363
YALI0F02189g,Q6C368
YALI0F02167g,Q6C369
YALI0F02101g,Q6C372
YALI0F02035g,Q6C375
YALI0F01947g,Q6C379
YALI0F01903g,Q6C381
YALI0F01881g,Q6C382
YALI0F01859g,Q6C383
YALI0F01793g,Q6C386
YALI0F01771g,Q6C387
YALI0F01716g,Q6C389
YALI0F01672g,Q6C391
YALI0F01606g,Q6C394
YALI0F01584g,Q6C395
YALI0F01496g,Q6C399
YALI0F01386g,Q6C3A4
YALI0F01210g,Q6C3A8
YALI0F00902g,Q6C3C2
YALI0F00880g,Q6C3C3
YALI0F00858g,Q6C3C4
YALI0F00792g,Q6C3C7
YALI0F00682g,Q6C3D2
YALI0F00484g,Q6C3E1
YALI0F00462g,Q6C3E2
YALI0F00418g,Q6C3E4
YALI0F00374g,Q6C3E6
YALI0F00198g,Q6C3F4
YALI0F00176g,Q6C3F5
YALI0E35222g,Q6C3F9
YALI0E35112g,Q6C3G3
YALI0E35046g,Q6C3G5
YALI0E34881g,Q6C3H1
YALI0E34852g,Q6C3H2
YALI0E34793g,Q6C3H5
YALI0E34687g,Q6C3H9
YALI0E34331g,Q6C3J4
YALI0E34265g,Q6C3J7
YALI0E34170g,Q6C3K0
YALI0E34155g,Q6C3K1
YALI0E34067g,Q6C3K5
YALI0E34001g,Q6C3K8
YALI0E33957g,Q6C3L0
YALI0E33935g,Q6C3L1
YALI0E33774g,Q6C3L7
YALI0E33759g,Q6C3L8
YALI0E33715g,Q6C3M0
YALI0E33649g,Q6C3M2
YALI0E33539g,Q6C3M7
YALI0E33517g,Q6C3M8
YALI0E33363g,Q6C3N7
YALI0E33121g,Q6C3P8
