YALI1,YALI2
YALI1_A16215g,YALI2_A00455g
YALI1_A16292g,YALI2_A00254g
YALI1_A16392g,YALI2_A00454g
YALI1_A16422g,YALI2_A00255g
YALI1_A16461g,YALI2_A00453g
YALI1_A16485g,YALI2_A00256g
YALI1_A16501g,YALI2_A00452g
YALI1_A16509g,YALI2_A00257g
YALI1_A16618g,YALI2_A00451g
YALI1_A16642g,YALI2_A00258g
YALI1_A16681g,YALI2_A00450g
YALI1_A16712g,YALI2_A00449g
YALI1_A16745g,YALI2_A00448g
YALI1_A16770g,YALI2_A00447g
YALI1_A16787g,YALI2_A00259g
YALI1_A16988g,YALI2_A00446g
YALI1_A17085g,YALI2_A00444g
YALI1_A17118g,YALI2_A00443g
YALI1_A17123g,YALI2_A00442g
YALI1_A17177g,YALI2_A00441g
YALI1_A17234g,YALI2_A00440g
YALI1_A17289g,YALI2_A00439g
YALI1_A17328g,YALI2_A00260g
YALI1_A17348g,YALI2_A00261g
YALI1_A17383g,YALI2_A00438g
YALI1_A17401g,YALI2_A00437g
YALI1_A17419g,YALI2_A00436g
YALI1_A17433g,YALI2_A00435g
YALI1_A17450g,YALI2_A00434g
YALI1_A17470g,YALI2_A00433g
YALI1_A17486g,YALI2_A00262g
YALI1_A17511g,YALI2_A00432g
YALI1_A17515g,YALI2_A00263g
YALI1_A17546g,YALI2_A00431g
YALI1_A17570g,YALI2_A00430g
YALI1_A17583g,YALI2_A00264g
YALI1_A17622g,YALI2_A00429g
YALI1_A17640g,YALI2_A00428g
YALI1_A17651g,YALI2_A00265g
YALI1_A17671g,YALI2_A00266g
YALI1_A17720g,YALI2_A00427g
YALI1_A17749g,YALI2_A00267g
YALI1_A17824g,YALI2_A00426g
YALI1_A17927g,YALI2_A00425g
YALI1_A17957g,YALI2_A00269g
YALI1_A18036g,YALI2_A00424g
YALI1_A18062g,YALI2_A00423g
YALI1_A18076g,YALI2_A00422g
YALI1_A18133g,YALI2_A00270g
YALI1_A18166g,YALI2_A00271g
YALI1_A18188g,YALI2_A00272g
YALI1_A18219g,YALI2_A00273g
YALI1_A18273g,YALI2_A00421g
YALI1_A18286g,YALI2_A00274g
YALI1_A18315g,YALI2_A00420g
YALI1_A18344g,YALI2_A00419g
YALI1_A18414g,YALI2_A00418g
YALI1_A18439g,YALI2_A00417g
YALI1_A18514g,YALI2_A00416g
YALI1_A18557g,YALI2_A00275g
YALI1_A18622g,YALI2_A00415g
YALI1_A18660g,YALI2_A00276g
YALI1_A18752g,YALI2_A00277g
YALI1_A18805g,YALI2_A00414g
YALI1_A18817g,YALI2_A00278g
YALI1_A18847g,YALI2_A00413g
YALI1_A18897g,YALI2_A00412g
YALI1_A18915g,YALI2_A00279g
YALI1_A19025g,YALI2_A00280g
YALI1_A19070g,YALI2_A00411g
YALI1_A19214g,YALI2_A00410g
YALI1_A19398g,YALI2_A00409g
YALI1_A19419g,YALI2_A00281g
YALI1_A19428g,YALI2_A00282g
YALI1_A19459g,YALI2_A00408g
YALI1_A19483g,YALI2_A00283g
YALI1_A19515g,YALI2_A00407g
YALI1_A19526g,YALI2_A00284g
YALI1_A19549g,YALI2_A00406g
YALI1_A19563g,YALI2_A00285g
YALI1_A19595g,YALI2_A00405g
YALI1_A19675g,YALI2_A00404g
YALI1_A19725g,YALI2_A00403g
YALI1_A19731g,YALI2_A00286g
YALI1_A19759g,YALI2_A00287g
YALI1_A19795g,YALI2_A00402g
YALI1_A19829g,YALI2_A00288g
YALI1_A19862g,YALI2_A00401g
YALI1_A19885g,YALI2_A00400g
YALI1_A19898g,YALI2_A00289g
YALI1_A19924g,YALI2_A00399g
YALI1_A19965g,YALI2_A00398g
YALI1_A19974g,YALI2_A00290g
YALI1_A19989g,YALI2_A00291g
YALI1_A20063g,YALI2_A00397g
YALI1_A20089g,YALI2_A00292g
YALI1_A20113g,YALI2_A00293g
YALI1_A20129g,YALI2_A00396g
YALI1_A20131g,YALI2_A00294g
YALI1_A20149g,YALI2_A00295g
YALI1_A20176g,YALI2_A00395g
YALI1_A20201g,YALI2_A00296g
YALI1_A20221g,YALI2_A00297g
YALI1_A20229g,YALI2_A00298g
YALI1_A20258g,YALI2_A00394g
YALI1_A20283g,YALI2_A00393g
YALI1_A20320g,YALI2_A00392g
YALI1_A20370g,YALI2_A00391g
YALI1_A20398g,YALI2_A00390g
YALI1_A20408g,YALI2_A00299g
YALI1_A20441g,YALI2_A00389g
YALI1_A20453g,YALI2_A00300g
YALI1_A20484g,YALI2_A00388g
YALI1_A20528g,YALI2_A00387g
YALI1_A20558g,YALI2_A00301g
YALI1_A20602g,YALI2_A00302g
YALI1_A20611g,YALI2_A00303g
YALI1_A20631g,YALI2_A00304g
YALI1_A20685g,YALI2_A00386g
YALI1_A20739g,YALI2_A00305g
YALI1_A20793g,YALI2_A00385g
YALI1_A20822g,YALI2_A00384g
YALI1_A20849g,YALI2_A00383g
YALI1_A20855g,YALI2_A00306g
YALI1_A20884g,YALI2_A00382g
YALI1_A20902g,YALI2_A00381g
YALI1_A20937g,YALI2_A00307g
YALI1_A20965g,YALI2_A00380g
YALI1_A20995g,YALI2_A00379g
YALI1_A21000g,YALI2_A00308g
YALI1_A21021g,YALI2_A00378g
YALI1_A21040g,YALI2_A00377g
YALI1_A21043g,YALI2_A00309g
YALI1_A21057g,YALI2_A00310g
YALI1_A21089g,YALI2_A00311g
YALI1_A21120g,YALI2_A00312g
YALI1_A21156g,YALI2_A00376g
YALI1_A21175g,YALI2_A00375g
YALI1_A21203g,YALI2_A00374g
YALI1_A21236g,YALI2_A00313g
YALI1_A21265g,YALI2_A00314g
YALI1_A21283g,YALI2_A00315g
YALI1_A21311g,YALI2_A00316g
YALI1_A21345g,YALI2_A00373g
YALI1_A21372g,YALI2_A00317g
YALI1_A21409g,YALI2_A00372g
YALI1_A21420g,YALI2_A00371g
YALI1_A21449g,YALI2_A00370g
YALI1_A21477g,YALI2_A00318g
YALI1_A21499g,YALI2_A00319g
YALI1_A21509g,YALI2_A00320g
YALI1_A21550g,YALI2_A00368g
YALI1_A21554g,YALI2_A00321g
YALI1_A21565g,YALI2_A00322g
YALI1_A21594g,YALI2_A00323g
YALI1_A21617g,YALI2_A00367g
YALI1_A21620g,YALI2_A00324g
YALI1_A21630g,YALI2_A00325g
YALI1_A21654g,YALI2_A00326g
YALI1_A21696g,YALI2_A00366g
YALI1_A21711g,YALI2_A00365g
YALI1_A21720g,YALI2_A00327g
YALI1_A21746g,YALI2_A00328g
YALI1_A21775g,YALI2_A00363g
YALI1_A21797g,YALI2_A00329g
YALI1_A21835g,YALI2_A00362g
YALI1_A21871g,YALI2_A00361g
YALI1_A21913g,YALI2_A00360g
YALI1_A21919g,YALI2_A00330g
YALI1_A21945g,YALI2_A00331g
YALI1_A21970g,YALI2_A00332g
YALI1_A21993g,YALI2_A00359g
YALI1_A22008g,YALI2_A00333g
YALI1_A22023g,YALI2_A00358g
YALI1_A22027g,YALI2_A00334g
YALI1_A22073g,YALI2_A00355g
YALI1_A22093g,YALI2_A00354g
YALI1_A22105g,YALI2_A00353g
YALI1_A22111g,YALI2_A00335g
YALI1_A22129g,YALI2_A00336g
YALI1_A22137g,YALI2_A00337g
YALI1_A22157g,YALI2_A00338g
YALI1_A22192g,YALI2_A00339g
YALI1_A22228g,YALI2_A00352g
YALI1_A22236g,YALI2_A00340g
YALI1_A22275g,YALI2_A00351g
