,#proteinId,kogid,kogdefline,kogClass,kogGroup,definition,catalyticActivity,pathway,pathway_class,pathway_type,ecNum,cofactors,gotermId,gotermType,goName,goAcc
4389,7457,['KOG2148'],['Exocyst protein Sec3'],"['Intracellular trafficking, secretion, and vesicular transport ']",['CELLULAR PROCESSES AND SIGNALING'],,,,,,,,,,,
4390,7459,['KOG1075'],['FOG: Reverse transcriptase'],['General function prediction only '],['POORLY CHARACTERIZED'],,,,,,,,"[2216, 2417, 4437]","['molecular_function', 'molecular_function', 'biological_process']","['RNA binding', 'RNA-directed DNA polymerase activity', 'RNA-dependent DNA replication']","['GO:0003723', 'GO:0003964', 'GO:0006278']"
4391,7460,['KOG2484'],['GTPase'],['General function prediction only '],['POORLY CHARACTERIZED'],"['In phosphorous-containing anhydrides.', 'In phosphorous-containing anhydrides.']","['\\N', '\\N']","['Starch and sucrose metabolism', 'Folate biosynthesis']","['Metabolism of Complex Carbohydrates', 'Metabolism of Cofactors and Vitamins']","['METABOLIC', 'METABOLIC']","['3.6.1.-', '3.6.1.-']","['\\N', '\\N']","[3737, 611, 3147, 6073, 6379, 6416, 6447, 9684, 11455, 11456, 18631]","['molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function']","['GTP binding', 'diacylglycerol pyrophosphate phosphatase activity', 'thiamin-pyrophosphatase activity', '8-oxo-7,8-dihydroguanine triphosphatase activity', 'UDP-2,3-diacylglucosamine hydrolase activity', ""bis(5'-nucleosyl)-tetraphosphatase activity"", 'dATP pyrophosphohydrolase activity', 'pyrophosphatase activity', 'dihydroneopterin monophosphate phosphatase activity', 'dihydroneopterin triphosphate pyrophosphohydrolase activity', ""ATP-dependent 5'-3' DNA helicase activity""]","['GO:0005525', 'GO:0000810', 'GO:0004787', 'GO:0008413', 'GO:0008758', 'GO:0008796', 'GO:0008828', 'GO:0016462', 'GO:0019176', 'GO:0019177', 'GO:0043141']"
4392,7461,['KOG4328'],['WD40 protein'],['Function unknown '],['POORLY CHARACTERIZED'],,,,,,,,,,,
4393,7462,['KOG1061'],"['Vesicle coat complex AP-1/AP-2/AP-4, beta subunit']","['Intracellular trafficking, secretion, and vesicular transport ']",['CELLULAR PROCESSES AND SIGNALING'],,,,,,,,"[3727, 4595, 4994, 9480, 13011, 3708]","['molecular_function', 'biological_process', 'biological_process', 'biological_process', 'cellular_component', 'molecular_function']","['protein binding', 'protein complex assembly', 'intracellular protein transport', 'vesicle-mediated transport', 'membrane coat', 'binding']","['GO:0005515', 'GO:0006461', 'GO:0006886', 'GO:0016192', 'GO:0030117', 'GO:0005488']"
4394,7463,"['KOG1444', 'KOG1444', 'KOG1444']","['Nucleotide-sugar transporter VRG4/SQV-7', 'Nucleotide-sugar transporter VRG4/SQV-7', 'Nucleotide-sugar transporter VRG4/SQV-7']","['Carbohydrate transport and metabolism ', 'Posttranslational modification, protein turnover, chaperones ', 'Intracellular trafficking, secretion, and vesicular transport ']","['METABOLISM', 'CELLULAR PROCESSES AND SIGNALING', 'CELLULAR PROCESSES AND SIGNALING']",,,,,,,,"[3633, 9092, 9321]","['molecular_function', 'biological_process', 'cellular_component']","['nucleotide-sugar transmembrane transporter activity', 'nucleotide-sugar transport', 'integral to membrane']","['GO:0005338', 'GO:0015780', 'GO:0016021']"
4395,7465,['KOG4198'],['RNA-binding Ran Zn-finger protein and related proteins'],['General function prediction only '],['POORLY CHARACTERIZED'],,,,,,,,"[2175, 3827, 5939]","['molecular_function', 'cellular_component', 'molecular_function']","['nucleic acid binding', 'intracellular', 'zinc ion binding']","['GO:0003676', 'GO:0005622', 'GO:0008270']"
4396,7466,,,,,"['Mannan endo-1,6-beta-mannosidase.']","['Random hydrolysis of 1,6-beta-D-mannosidic linkages in unbranched 1,6-mannans.']",['\\N'],['\\N'],['\\N'],['3.2.1.101'],['\\N'],"[2290, 6151]","['molecular_function', 'molecular_function']","['catalytic activity', 'mannan endo-1,6-alpha-mannosidase activity']","['GO:0003824', 'GO:0008496']"
4397,7468,"['KOG3949', 'KOG3949']","['RNA polymerase II elongator complex, subunit ELP4', 'RNA polymerase II elongator complex, subunit ELP4']","['Chromatin structure and dynamics ', 'Transcription ']","['INFORMATION STORAGE AND PROCESSING', 'INFORMATION STORAGE AND PROCESSING']",,,,,,,,,,,
4398,7469,['KOG0281'],['Beta-TrCP (transducin repeats containing)/Slimb proteins'],['Function unknown '],['POORLY CHARACTERIZED'],,,,,,,,,,,
4399,7470,['KOG1721'],['FOG: Zn-finger'],['General function prediction only '],['POORLY CHARACTERIZED'],,,,,,,,"[2175, 3827, 5939]","['molecular_function', 'cellular_component', 'molecular_function']","['nucleic acid binding', 'intracellular', 'zinc ion binding']","['GO:0003676', 'GO:0005622', 'GO:0008270']"
4400,7472,['KOG0479'],"['DNA replication licensing factor, MCM3 component']","['Replication, recombination and repair ']",['INFORMATION STORAGE AND PROCESSING'],,,,,,,,"[2176, 3736, 4429, 5778, 162, 10269]","['molecular_function', 'molecular_function', 'biological_process', 'molecular_function', 'molecular_function', 'molecular_function']","['DNA binding', 'ATP binding', 'DNA replication initiation', 'DNA-dependent ATPase activity', 'nucleotide binding', 'nucleoside-triphosphatase activity']","['GO:0003677', 'GO:0005524', 'GO:0006270', 'GO:0008094', 'GO:0000166', 'GO:0017111']"
4401,7473,['KOG0209'],['P-type ATPase'],['Inorganic ion transport and metabolism '],['METABOLISM'],['Acting on acid anhydrides; catalyzing transmembrane movement'],['\\N'],['\\N'],['\\N'],['\\N'],['3.6.3.-'],['\\N'],"[3736, 4927, 8976, 9320, 4929, 9321, 10082, 10015]","['molecular_function', 'biological_process', 'molecular_function', 'cellular_component', 'biological_process', 'cellular_component', 'molecular_function', 'molecular_function']","['ATP binding', 'transport', 'ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism', 'membrane', 'cation transport', 'integral to membrane', 'ATPase activity', 'hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances']","['GO:0005524', 'GO:0006810', 'GO:0015662', 'GO:0016020', 'GO:0006812', 'GO:0016021', 'GO:0016887', 'GO:0016820']"
4402,7476,['KOG1134'],['Uncharacterized conserved protein'],['General function prediction only '],['POORLY CHARACTERIZED'],,,,,,,,[9320],['cellular_component'],['membrane'],['GO:0016020']
4403,7477,['KOG2648'],['Diphthamide biosynthesis protein'],"['Translation, ribosomal structure and biogenesis ']",['INFORMATION STORAGE AND PROCESSING'],,,,,,,,,,,
4404,7478,['KOG3247'],['Uncharacterized conserved protein'],['Function unknown '],['POORLY CHARACTERIZED'],,,,,,,,,,,
4405,7480,['KOG1679'],['Enoyl-CoA hydratase'],['Lipid transport and metabolism '],['METABOLISM'],['Methylglutaconyl-CoA hydratase.'],['(S)-3-hydroxy-3-methylglutaryl-CoA = trans-3-methylglutaconyl-CoA + H(2)O.'],"['Valine, leucine and isoleucine degradation']",['Amino Acid Metabolism'],['METABOLIC'],['4.2.1.18'],['\\N'],"[2290, 5830, 2881]","['molecular_function', 'biological_process', 'molecular_function']","['catalytic activity', 'metabolic process', 'methylglutaconyl-CoA hydratase activity']","['GO:0003824', 'GO:0008152', 'GO:0004490']"
4406,7481,['KOG3463'],"['Transcription initiation factor IIA, gamma subunit']",['Transcription '],['INFORMATION STORAGE AND PROCESSING'],,,,,,,,"[2198, 3871, 4515]","['molecular_function', 'cellular_component', 'biological_process']","['RNA polymerase II transcription factor activity', 'transcription factor TFIIA complex', 'transcription initiation from RNA polymerase II promoter']","['GO:0003702', 'GO:0005672', 'GO:0006367']"
4407,7486,['KOG1674'],['Cyclin'],['General function prediction only '],['POORLY CHARACTERIZED'],,,,,,,,"[85, 12144, 24549]","['biological_process', 'molecular_function', 'biological_process']","['regulation of cyclin-dependent protein kinase activity', 'protein kinase binding', 'regulation of cell division']","['GO:0000079', 'GO:0019901', 'GO:0051302']"
4408,7487,['KOG0929'],['Guanine nucleotide exchange factor'],"['Intracellular trafficking, secretion, and vesicular transport ']",['CELLULAR PROCESSES AND SIGNALING'],,,,,,,,"[3422, 3827, 14847]","['molecular_function', 'cellular_component', 'biological_process']","['ARF guanyl-nucleotide exchange factor activity', 'intracellular', 'regulation of ARF protein signal transduction']","['GO:0005086', 'GO:0005622', 'GO:0032012']"
4409,7488,,,,,,,,,,,,"[5765, 5830]","['molecular_function', 'biological_process']","['N-acetyltransferase activity', 'metabolic process']","['GO:0008080', 'GO:0008152']"
4410,7489,['KOG0180'],"['20S proteasome, regulatory subunit beta type PSMB3/PUP3']","['Posttranslational modification, protein turnover, chaperones ']",['CELLULAR PROCESSES AND SIGNALING'],['Proteasome endopeptidase complex.'],['Cleavage at peptide bonds with very broad specificity.'],['\\N'],['\\N'],['\\N'],['3.4.25.1'],['\\N'],"[2706, 4024, 4642, 2707]","['molecular_function', 'cellular_component', 'biological_process', 'molecular_function']","['threonine endopeptidase activity', 'proteasome core complex', 'ubiquitin-dependent protein catabolic process', 'proteasome endopeptidase activity']","['GO:0004298', 'GO:0005839', 'GO:0006511', 'GO:0004299']"
4411,7490,['KOG4148'],['Uncharacterized conserved protein'],['Function unknown '],['POORLY CHARACTERIZED'],,,,,,,,,,,
4412,7491,['KOG3694'],['Protein required for meiosis'],"['Cell cycle control, cell division, chromosome partitioning ']",['METABOLISM'],,,,,,,,,,,
4413,7492,['KOG3734'],['Predicted phosphoglycerate mutase'],['Carbohydrate transport and metabolism '],['METABOLISM'],['Protein-tyrosine-phosphatase.'],['Protein tyrosine phosphate + H(2)O = protein tyrosine + phosphate.'],['\\N'],['\\N'],['\\N'],['3.1.3.48'],['\\N'],"[3091, 3093]","['molecular_function', 'molecular_function']","['protein tyrosine phosphatase activity', 'prenylated protein tyrosine phosphatase activity']","['GO:0004725', 'GO:0004727']"
4414,7493,['KOG4267'],['Predicted membrane protein'],['Function unknown '],['POORLY CHARACTERIZED'],,,,,,,,[9320],['cellular_component'],['membrane'],['GO:0016020']
4415,7496,['KOG1956'],['DNA topoisomerase III alpha'],"['Replication, recombination and repair ']",['INFORMATION STORAGE AND PROCESSING'],['DNA topoisomerase.'],"['ATP-independent breakage of single-stranded DNA, followed by passage and rejoining.']",['\\N'],['\\N'],['\\N'],['5.99.1.2'],['\\N'],"[2176, 2370, 3891, 4424, 4427, 2175, 4462, 2371]","['molecular_function', 'molecular_function', 'cellular_component', 'biological_process', 'biological_process', 'molecular_function', 'biological_process', 'molecular_function']","['DNA binding', 'DNA topoisomerase activity', 'chromosome', 'DNA topological change', 'DNA unwinding during replication', 'nucleic acid binding', 'DNA modification', 'DNA topoisomerase type I activity']","['GO:0003677', 'GO:0003916', 'GO:0005694', 'GO:0006265', 'GO:0006268', 'GO:0003676', 'GO:0006304', 'GO:0003917']"
4416,7497,['KOG1018'],['Cytosine deaminase FCY1 and related enzymes'],['Nucleotide transport and metabolism '],['METABOLISM'],['Cytosine deaminase.'],['Cytosine + H(2)O = uracil + NH(3).'],['Pyrimidine metabolism'],['Nucleotide Metabolism'],['METABOLIC'],['3.5.4.1'],['\\N'],"[5939, 9985, 2290, 2569]","['molecular_function', 'molecular_function', 'molecular_function', 'molecular_function']","['zinc ion binding', 'hydrolase activity', 'catalytic activity', 'cytosine deaminase activity']","['GO:0008270', 'GO:0016787', 'GO:0003824', 'GO:0004131']"
4417,7498,"['KOG4444', 'KOG4444']","['Peroxisomal assembly protein PEX3', 'Peroxisomal assembly protein PEX3']","['Cell wall/membrane/envelope biogenesis ', 'Intracellular trafficking, secretion, and vesicular transport ']","['CELLULAR PROCESSES AND SIGNALING', 'CELLULAR PROCESSES AND SIGNALING']",,,,,,,,"[3968, 5126]","['cellular_component', 'biological_process']","['integral to peroxisomal membrane', 'peroxisome organization and biogenesis']","['GO:0005779', 'GO:0007031']"
4418,7499,['KOG4628'],['Predicted E3 ubiquitin ligase'],"['Posttranslational modification, protein turnover, chaperones ']",['CELLULAR PROCESSES AND SIGNALING'],,,,,,,,"[3727, 5939]","['molecular_function', 'molecular_function']","['protein binding', 'zinc ion binding']","['GO:0005515', 'GO:0008270']"
4419,7501,['KOG3006'],['Transthyretin and related proteins'],['Lipid transport and metabolism '],['METABOLISM'],,,,,,,,"[4927, 16797]","['biological_process', 'molecular_function']","['transport', 'hydroxyisourate hydrolase activity']","['GO:0006810', 'GO:0033971']"
4420,7502,['KOG4491'],['Predicted membrane protein'],['Function unknown '],['POORLY CHARACTERIZED'],,,,,,,,,,,
4421,7503,['KOG1721'],['FOG: Zn-finger'],['General function prediction only '],['POORLY CHARACTERIZED'],,,,,,,,"[2175, 3827, 5939]","['molecular_function', 'cellular_component', 'molecular_function']","['nucleic acid binding', 'intracellular', 'zinc ion binding']","['GO:0003676', 'GO:0005622', 'GO:0008270']"
4422,7504,['KOG2758'],"['Translation initiation factor 3, subunit e (eIF-3e)']","['Translation, ribosomal structure and biogenesis ']",['INFORMATION STORAGE AND PROCESSING'],,,,,,,,,,,
4423,7507,['KOG2915'],"['tRNA(1-methyladenosine) methyltransferase, subunit GCD14']","['Translation, ribosomal structure and biogenesis ']",['INFORMATION STORAGE AND PROCESSING'],,,,,,,,,,,
4424,7509,['KOG2902'],['Dihydroorotase'],['Nucleotide transport and metabolism '],['METABOLISM'],['Dihydroorotase.'],['(S)-dihydroorotate + H(2)O = N-carbamoyl-L-aspartate.'],['Pyrimidine metabolism'],['Nucleotide Metabolism'],['METABOLIC'],['3.5.2.3'],['\\N'],"[10007, 2589, 12103, 9985]","['molecular_function', 'molecular_function', 'biological_process', 'molecular_function']","['hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amides', 'dihydroorotase activity', 'pyrimidine base biosynthetic process', 'hydrolase activity']","['GO:0016812', 'GO:0004151', 'GO:0019856', 'GO:0016787']"
4425,7510,['KOG2703'],['C4-type Zn-finger protein'],['General function prediction only '],['POORLY CHARACTERIZED'],,,,,,,,"[3727, 5939]","['molecular_function', 'molecular_function']","['protein binding', 'zinc ion binding']","['GO:0005515', 'GO:0008270']"
4426,7511,,,,,"['With 2-oxoglutarate as one donor, and incorporation of one']",['\\N'],['\\N'],['\\N'],['\\N'],['1.14.11.-'],['\\N'],"[4283, 9710, 648, 7860, 10908, 12048, 19199]","['biological_process', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function']","['electron transport', 'oxidoreductase activity', 'sulfonate dioxygenase activity', '2-oxoglutarate-dependent dioxygenase activity', '2,4-dichlorophenoxyacetate alpha-ketoglutarate dioxygenase activity', 'procollagen-proline dioxygenase activity', 'DNA-N1-methyladenine dioxygenase activity']","['GO:0006118', 'GO:0016491', 'GO:0000907', 'GO:0010302', 'GO:0018602', 'GO:0019798', 'GO:0043734']"
4427,7514,['KOG3321'],['Mitochondrial ribosomal protein S10'],"['Translation, ribosomal structure and biogenesis ']",['INFORMATION STORAGE AND PROCESSING'],,,,,,,,,,,
4428,7516,['KOG0236'],['Sulfate/bicarbonate/oxalate exchanger SAT-1 and related transporters (SLC26 family)'],['Inorganic ion transport and metabolism '],['METABOLISM'],,,,,,,,"[3546, 4927, 9321]","['molecular_function', 'biological_process', 'cellular_component']","['transporter activity', 'transport', 'integral to membrane']","['GO:0005215', 'GO:0006810', 'GO:0016021']"
4429,7517,['KOG1831'],['Negative regulator of transcription'],['Transcription '],['INFORMATION STORAGE AND PROCESSING'],,,,,,,,,,,
4430,7518,,,,,"['Acid phosphatase.', 'Acid phosphatase.']","['An orthophosphoric monoester + H(2)O = an alcohol + phosphate.', 'An orthophosphoric monoester + H(2)O = an alcohol + phosphate.']","['gamma-Hexachlorocyclohexane degradation', 'Riboflavin metabolism']","['Biodegradation of Xenobiotics', 'Metabolism of Cofactors and Vitamins']","['METABOLIC', 'METABOLIC']","['3.1.3.2', '3.1.3.2']","['\\N', '\\N']","[9986, 2441]","['molecular_function', 'molecular_function']","['hydrolase activity, acting on ester bonds', 'acid phosphatase activity']","['GO:0016788', 'GO:0003993']"
4431,7521,['KOG2234'],['Predicted UDP-galactose transporter'],['Carbohydrate transport and metabolism '],['METABOLISM'],['Cysteine endopeptidases.'],['\\N'],['\\N'],['\\N'],['\\N'],['3.4.22.-'],['\\N'],"[3633, 9092, 9321, 140, 3642, 6276, 2635]","['molecular_function', 'biological_process', 'cellular_component', 'cellular_component', 'molecular_function', 'biological_process', 'molecular_function']","['nucleotide-sugar transmembrane transporter activity', 'nucleotide-sugar transport', 'integral to membrane', 'Golgi membrane', 'sugar:hydrogen symporter activity', 'carbohydrate transport', 'cysteine-type endopeptidase activity']","['GO:0005338', 'GO:0015780', 'GO:0016021', 'GO:0000139', 'GO:0005351', 'GO:0008643', 'GO:0004197']"
4432,7522,['KOG1561'],"['CCAAT-binding factor, subunit B (HAP2)']",['Transcription '],['INFORMATION STORAGE AND PROCESSING'],,,,,,,,"[2196, 3838, 4504]","['molecular_function', 'cellular_component', 'biological_process']","['transcription factor activity', 'nucleus', 'regulation of transcription, DNA-dependent']","['GO:0003700', 'GO:0005634', 'GO:0006355']"
4433,7524,['KOG0395'],['Ras-related GTPase'],['General function prediction only '],['POORLY CHARACTERIZED'],,,,,,,,"[3737, 5344, 2378, 3727, 4994, 5019, 5250, 3827, 8400]","['molecular_function', 'biological_process', 'molecular_function', 'molecular_function', 'biological_process', 'biological_process', 'biological_process', 'cellular_component', 'biological_process']","['GTP binding', 'small GTPase mediated signal transduction', 'GTPase activity', 'protein binding', 'intracellular protein transport', 'nucleocytoplasmic transport', 'signal transduction', 'intracellular', 'protein transport']","['GO:0005525', 'GO:0007264', 'GO:0003924', 'GO:0005515', 'GO:0006886', 'GO:0006913', 'GO:0007165', 'GO:0005622', 'GO:0015031']"
4434,7526,,,,,,,,,,,,[3727],['molecular_function'],['protein binding'],['GO:0005515']
4435,7527,['KOG2616'],['Pyridoxalphosphate-dependent enzyme/predicted threonine synthase'],['Amino acid transport and metabolism '],['METABOLISM'],,,,,,,,"[4650, 13063, 2290, 5830, 3155, 6697]","['biological_process', 'molecular_function', 'molecular_function', 'biological_process', 'molecular_function', 'biological_process']","['amino acid metabolic process', 'pyridoxal phosphate binding', 'catalytic activity', 'metabolic process', 'threonine synthase activity', 'threonine biosynthetic process']","['GO:0006520', 'GO:0030170', 'GO:0003824', 'GO:0008152', 'GO:0004795', 'GO:0009088']"
4436,7528,['KOG2584'],['Dihydroorotase and related enzymes'],['Nucleotide transport and metabolism '],['METABOLISM'],['Allantoinase.'],['Allantoin + H(2)O = allantoate.'],['Purine metabolism'],['Nucleotide Metabolism'],['METABOLIC'],['3.5.2.5'],['\\N'],"[10007, 9985, 10005, 2481]","['molecular_function', 'molecular_function', 'molecular_function', 'molecular_function']","['hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amides', 'hydrolase activity', 'hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds', 'allantoinase activity']","['GO:0016812', 'GO:0016787', 'GO:0016810', 'GO:0004038']"
4437,7529,['KOG1693'],['emp24/gp25L/p24 family of membrane trafficking proteins'],"['Intracellular trafficking, secretion, and vesicular transport ']",['CELLULAR PROCESSES AND SIGNALING'],,,,,,,,,,,
4438,7530,['KOG1167'],"['Serine/threonine protein kinase of the CDC7 subfamily involved in DNA synthesis, repair and recombination']","['Replication, recombination and repair ']",['INFORMATION STORAGE AND PROCESSING'],,,,,,,,"[3043, 3736, 4602, 3045]","['molecular_function', 'molecular_function', 'biological_process', 'molecular_function']","['protein kinase activity', 'ATP binding', 'protein amino acid phosphorylation', 'protein serine/threonine kinase activity']","['GO:0004672', 'GO:0005524', 'GO:0006468', 'GO:0004674']"
4439,7531,['KOG1869'],"['Splicing coactivator SRm160/300, subunit SRm300']",['RNA processing and modification  '],['INFORMATION STORAGE AND PROCESSING'],,,,,,,,,,,
4440,7533,['KOG0781'],"['Signal recognition particle receptor, alpha subunit']","['Intracellular trafficking, secretion, and vesicular transport ']",['CELLULAR PROCESSES AND SIGNALING'],,,,,,,,"[3737, 4743, 5980, 9320, 162, 10269, 2378, 3390, 3974, 4994, 4927, 22828]","['molecular_function', 'biological_process', 'molecular_function', 'cellular_component', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'cellular_component', 'biological_process', 'biological_process', 'cellular_component']","['GTP binding', 'SRP-dependent cotranslational protein targeting to membrane', '7S RNA binding', 'membrane', 'nucleotide binding', 'nucleoside-triphosphatase activity', 'GTPase activity', 'signal recognition particle binding', 'signal recognition particle receptor complex', 'intracellular protein transport', 'transport', 'signal recognition particle']","['GO:0005525', 'GO:0006614', 'GO:0008312', 'GO:0016020', 'GO:0000166', 'GO:0017111', 'GO:0003924', 'GO:0005047', 'GO:0005785', 'GO:0006886', 'GO:0006810', 'GO:0048500']"
4441,7534,['KOG0732'],['AAA+-type ATPase containing the bromodomain'],"['Posttranslational modification, protein turnover, chaperones ']",['CELLULAR PROCESSES AND SIGNALING'],,,,,,,,"[162, 10269, 3736]","['molecular_function', 'molecular_function', 'molecular_function']","['nucleotide binding', 'nucleoside-triphosphatase activity', 'ATP binding']","['GO:0000166', 'GO:0017111', 'GO:0005524']"
4442,7535,['KOG1211'],['Amidases'],"['Translation, ribosomal structure and biogenesis ']",['INFORMATION STORAGE AND PROCESSING'],,,,,,,,"[10079, 4556]","['molecular_function', 'biological_process']","['carbon-nitrogen ligase activity, with glutamine as amido-N-donor', 'translation']","['GO:0016884', 'GO:0006412']"
4443,7536,['KOG2854'],['Possible pfkB family carbohydrate kinase'],['Carbohydrate transport and metabolism '],['METABOLISM'],['Adenosine kinase.'],['ATP + adenosine = ADP + AMP.'],['Purine metabolism'],['Nucleotide Metabolism'],['METABOLIC'],['2.7.1.20'],['\\N'],[2449],['molecular_function'],['adenosine kinase activity'],['GO:0004001']
4444,7537,['KOG2246'],['Galactosyltransferases'],['Carbohydrate transport and metabolism '],['METABOLISM'],,,,,,,,"[9320, 9956]","['cellular_component', 'molecular_function']","['membrane', 'transferase activity, transferring glycosyl groups']","['GO:0016020', 'GO:0016757']"
4445,7538,['KOG1362'],['Choline transporter-like protein'],['Lipid transport and metabolism '],['METABOLISM'],,,,,,,,,,,
4446,7539,['KOG0098'],"['GTPase Rab2, small G protein superfamily']","['Intracellular trafficking, secretion, and vesicular transport ']",['CELLULAR PROCESSES AND SIGNALING'],,,,,,,,"[3737, 5344, 2378, 3727, 4994, 5019, 5250, 3827, 8400]","['molecular_function', 'biological_process', 'molecular_function', 'molecular_function', 'biological_process', 'biological_process', 'biological_process', 'cellular_component', 'biological_process']","['GTP binding', 'small GTPase mediated signal transduction', 'GTPase activity', 'protein binding', 'intracellular protein transport', 'nucleocytoplasmic transport', 'signal transduction', 'intracellular', 'protein transport']","['GO:0005525', 'GO:0007264', 'GO:0003924', 'GO:0005515', 'GO:0006886', 'GO:0006913', 'GO:0007165', 'GO:0005622', 'GO:0015031']"
4447,7540,['KOG1529'],['Mercaptopyruvate sulfurtransferase/thiosulfate sulfurtransferase'],['Defense mechanisms '],['CELLULAR PROCESSES AND SIGNALING'],,,,,,,,,,,
4448,7541,['KOG0229'],['Phosphatidylinositol-4-phosphate 5-kinase'],['Signal transduction mechanisms '],['CELLULAR PROCESSES AND SIGNALING'],['1-phosphatidylinositol-4-phosphate kinase.'],"['ATP + 1-phosphatidyl-1D-myo-inositol 4-monophosphate = ADP + 1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate.']",['Inositol phosphate metabolism'],['Metabolism of Complex Lipids'],['METABOLIC'],['2.7.1.68'],['\\N'],"[9578, 20924, 9579]","['molecular_function', 'biological_process', 'molecular_function']","['phosphatidylinositol phosphate kinase activity', 'phosphatidylinositol metabolic process', '1-phosphatidylinositol-4-phosphate 5-kinase activity']","['GO:0016307', 'GO:0046488', 'GO:0016308']"
4449,7542,['KOG2004'],['Mitochondrial ATP-dependent protease PIM1/LON'],"['Posttranslational modification, protein turnover, chaperones ']",['CELLULAR PROCESSES AND SIGNALING'],['Endopeptidase La.'],"['Hydrolysis of large proteins such as globin, casein and denaturated serum albumin, in presence of ATP.']",['\\N'],['\\N'],['\\N'],['3.4.21.53'],['\\N'],"[2614, 4641, 162, 10269, 3736, 2682, 4639, 6464]","['molecular_function', 'biological_process', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'biological_process', 'molecular_function']","['ATP-dependent peptidase activity', 'ATP-dependent proteolysis', 'nucleotide binding', 'nucleoside-triphosphatase activity', 'ATP binding', 'serine-type endopeptidase activity', 'proteolysis', 'endopeptidase La activity']","['GO:0004176', 'GO:0006510', 'GO:0000166', 'GO:0017111', 'GO:0005524', 'GO:0004252', 'GO:0006508', 'GO:0008846']"
4450,7544,"['KOG0134', 'KOG0134']","['NADH:flavin oxidoreductase/12-oxophytodienoate reductase', 'NADH:flavin oxidoreductase/12-oxophytodienoate reductase']","['Energy production and conversion ', 'General function prediction only ']","['METABOLISM', 'POORLY CHARACTERIZED']",['NADPH dehydrogenase.'],['NADPH + acceptor = NADP(+) + reduced acceptor.'],['\\N'],['\\N'],['\\N'],['1.6.99.1'],['FMN or FAD.'],"[7744, 9710, 2412]","['molecular_function', 'molecular_function', 'molecular_function']","['FMN binding', 'oxidoreductase activity', 'NADPH dehydrogenase activity']","['GO:0010181', 'GO:0016491', 'GO:0003959']"
4451,7545,['KOG0118'],['FOG: RRM domain'],['General function prediction only '],['POORLY CHARACTERIZED'],,,,,,,,"[2175, 3172, 3736, 4556]","['molecular_function', 'molecular_function', 'molecular_function', 'biological_process']","['nucleic acid binding', 'aminoacyl-tRNA ligase activity', 'ATP binding', 'translation']","['GO:0003676', 'GO:0004812', 'GO:0005524', 'GO:0006412']"
4452,7547,['KOG1380'],['Heme A farnesyltransferase'],['Coenzyme transport and metabolism '],['METABOLISM'],,,,,,,,"[3032, 9321, 4900, 6150, 14803, 3034, 5986, 6072, 19230, 19352, 20865]","['molecular_function', 'cellular_component', 'biological_process', 'molecular_function', 'cellular_component', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function']","['prenyltransferase activity', 'integral to membrane', 'heme biosynthetic process', 'protoheme IX farnesyltransferase activity', 'mitochondrial membrane', 'protein geranylgeranyltransferase activity', 'protein prenyltransferase activity', '4-hydroxybenzoate octaprenyltransferase activity', 'Sep-tRNA:Cys-tRNA synthase activity', '(S)-2,3-di-O-geranylgeranylglyceryl phosphate synthase activity', '1,4-dihydroxy-2-naphthoate octaprenyltransferase activity']","['GO:0004659', 'GO:0016021', 'GO:0006783', 'GO:0008495', 'GO:0031966', 'GO:0004661', 'GO:0008318', 'GO:0008412', 'GO:0043766', 'GO:0043888', 'GO:0046428']"
