,#proteinId,kogid,kogdefline,kogClass,kogGroup,definition,catalyticActivity,pathway,pathway_class,pathway_type,ecNum,cofactors,gotermId,gotermType,goName,goAcc
30,64,['KOG2006'],['WD40 repeat protein'],['General function prediction only '],['POORLY CHARACTERIZED'],,,,,,,,,,,
31,65,['KOG3426'],"['NADH:ubiquinone oxidoreductase, NDUFA6/B14 subunit']",['Energy production and conversion '],['METABOLISM'],,,,,,,,,,,
32,66,['KOG4178'],['Soluble epoxide hydrolase'],['Lipid transport and metabolism '],['METABOLISM'],,,,,,,,,,,
33,68,,,,,,,,,,,,"[2700, 18306, 18579]","['molecular_function', 'molecular_function', 'biological_process']","['subtilase activity', 'identical protein binding', 'negative regulation of catalytic activity']","['GO:0004289', 'GO:0042802', 'GO:0043086']"
34,71,"['KOG0134', 'KOG0134']","['NADH:flavin oxidoreductase/12-oxophytodienoate reductase', 'NADH:flavin oxidoreductase/12-oxophytodienoate reductase']","['Energy production and conversion ', 'General function prediction only ']","['METABOLISM', 'POORLY CHARACTERIZED']",['NADPH dehydrogenase.'],['NADPH + acceptor = NADP(+) + reduced acceptor.'],['\\N'],['\\N'],['\\N'],['1.6.99.1'],['FMN or FAD.'],"[7744, 9710, 2412]","['molecular_function', 'molecular_function', 'molecular_function']","['FMN binding', 'oxidoreductase activity', 'NADPH dehydrogenase activity']","['GO:0010181', 'GO:0016491', 'GO:0003959']"
35,73,,,,,,,,,,,,[3727],['molecular_function'],['protein binding'],['GO:0005515']
36,75,['KOG1760'],"['Molecular chaperone Prefoldin, subunit 4']","['Posttranslational modification, protein turnover, chaperones ']",['CELLULAR PROCESSES AND SIGNALING'],,,,,,,,"[4591, 9551, 24336]","['biological_process', 'cellular_component', 'molecular_function']","['protein folding', 'prefoldin complex', 'unfolded protein binding']","['GO:0006457', 'GO:0016272', 'GO:0051082']"
37,76,,,,,,,,,,,,"[162, 3736, 3930, 5721, 10074]","['molecular_function', 'molecular_function', 'cellular_component', 'biological_process', 'molecular_function']","['nucleotide binding', 'ATP binding', 'cytoplasm', 'tRNA processing', 'ligase activity, forming carbon-nitrogen bonds']","['GO:0000166', 'GO:0005524', 'GO:0005737', 'GO:0008033', 'GO:0016879']"
38,78,['KOG3937'],['mRNA splicing factor'],['RNA processing and modification  '],['INFORMATION STORAGE AND PROCESSING'],,,,,,,,,,,
39,81,['KOG4701'],['Chitinase'],['Cell wall/membrane/envelope biogenesis '],['CELLULAR PROCESSES AND SIGNALING'],['Chitinase.'],"['Hydrolysis of the 1,4-beta-linkages of N-acetyl-D-glucosamine polymers of chitin.']",['Aminosugars metabolism'],['Metabolism of Complex Carbohydrates'],['METABOLIC'],['3.2.1.14'],['\\N'],"[2933, 4143, 2946, 6462]","['molecular_function', 'biological_process', 'molecular_function', 'molecular_function']","['hydrolase activity, hydrolyzing O-glycosyl compounds', 'carbohydrate metabolic process', 'chitinase activity', 'endochitinase activity']","['GO:0004553', 'GO:0005975', 'GO:0004568', 'GO:0008843']"
40,82,['KOG1729'],['FYVE finger containing protein'],['General function prediction only '],['POORLY CHARACTERIZED'],,,,,,,,[5939],['molecular_function'],['zinc ion binding'],['GO:0008270']
41,84,['KOG0254'],['Predicted transporter (major facilitator superfamily)'],['General function prediction only '],['POORLY CHARACTERIZED'],,,,,,,,"[3642, 6276, 9320, 3546, 4927, 9321]","['molecular_function', 'biological_process', 'cellular_component', 'molecular_function', 'biological_process', 'cellular_component']","['sugar:hydrogen symporter activity', 'carbohydrate transport', 'membrane', 'transporter activity', 'transport', 'integral to membrane']","['GO:0005351', 'GO:0008643', 'GO:0016020', 'GO:0005215', 'GO:0006810', 'GO:0016021']"
